theme_color,attrib_color,attrib_name,wcag_score,color_index
#4A8DDC,#FFFFFF,background,3.423216587825414,0
#4A8DDC,#070F25,foreground,5.556293083586582,0
#4C5D8A,#FFFFFF,background,6.4814097773096,1
#4C5D8A,#070F25,foreground,2.9346076400138488,1
#F3C911,#FFFFFF,background,1.594086495898786,2
#F3C911,#070F25,foreground,11.931846044419963,2
#DC5B57,#FFFFFF,background,3.699015065493958,3
#DC5B57,#070F25,foreground,5.142015999876245,3
#33AE81,#FFFFFF,background,2.795460897818877,4
#33AE81,#070F25,foreground,6.804028153423155,4
#95C8F0,#FFFFFF,background,1.7799812696881336,5
#95C8F0,#070F25,foreground,10.685727414359661,5
#DD915F,#FFFFFF,background,2.533223017490078,6
#DD915F,#070F25,foreground,7.508377477715583,6
#9A64A0,#FFFFFF,background,4.4638239782138305,7
#9A64A0,#070F25,foreground,4.261009113124594,7
#6EA4E3,#FFFFFF,background,2.598240281055633,8
#6EA4E3,#070F25,foreground,7.320491022033365,8
#707DA1,#FFFFFF,background,4.087959687436192,9
#707DA1,#070F25,foreground,4.652784299466038,9
#F5D441,#FFFFFF,background,1.4607456301630413,10
#F5D441,#070F25,foreground,13.021017662349772,10
#E37C79,#FFFFFF,background,2.8281553947434572,11
#E37C79,#070F25,foreground,6.7253711326843675,11
#5CBE9A,#FFFFFF,background,2.2612099531798298,12
#5CBE9A,#070F25,foreground,8.411600445949635,12
#AAD3F3,#FFFFFF,background,1.5764429927062784,13
#AAD3F3,#070F25,foreground,12.065386911264651,13
#E4A77F,#FFFFFF,background,2.0724889716928607,14
#E4A77F,#070F25,foreground,9.177561333422622,14
#AE83B3,#FFFFFF,background,3.1356440848156844,15
#AE83B3,#070F25,foreground,6.065865301058632,15
#386AA5,#FFFFFF,background,5.565734746755635,16
#386AA5,#070F25,foreground,3.4174094735004275,16
#394668,#FFFFFF,background,9.333622762404913,17
#394668,#070F25,foreground,2.037836233018313,17
#B6970D,#FFFFFF,background,2.8296273816873563,18
#B6970D,#070F25,foreground,6.721872559492627,18
#A54441,#FFFFFF,background,5.994782492934696,19
#A54441,#070F25,foreground,3.172824814406558,19
#268361,#FFFFFF,background,4.66506277299747,20
#268361,#070F25,foreground,4.077200152728475,20
#7096B4,#FFFFFF,background,3.1294030686527092,21
#7096B4,#070F25,foreground,6.077962548538687,21
#A66D47,#FFFFFF,background,4.285853930857415,22
#A66D47,#070F25,foreground,4.43794747963985,22
#744B78,#FFFFFF,background,6.953078852283859,23
#744B78,#070F25,foreground,2.7355355885696064,23
#25476E,#FFFFFF,background,9.523308342579499,24
#25476E,#070F25,foreground,1.99724654146831,24
#262F45,#FFFFFF,background,13.333721951919342,25
#262F45,#070F25,foreground,1.4264880218096412,25
#7A6509,#FFFFFF,background,5.6865387870721955,26
#7A6509,#070F25,foreground,3.344810501212841,26
#6E2E2C,#FFFFFF,background,10.04704320825189,27
#6E2E2C,#070F25,foreground,1.8931335574362094,27
#1A5741,#FFFFFF,background,8.455702159471741,28
#1A5741,#070F25,foreground,2.249416345542318,28
#4B6478,#FFFFFF,background,6.188751796569486,29
#4B6478,#070F25,foreground,3.0733813983453797,29
#6F4930,#FFFFFF,background,7.860461194779032,30
#6F4930,#070F25,foreground,2.419755556224446,30
#4D3250,#FFFFFF,background,11.125035827761142,31
#4D3250,#070F25,foreground,1.7096928895357069,31
